#Mod_Priority,#Mod_Status,#Mod_Name,#Note,#Primary_Category,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Install_Date,#Download_File_Name
"0040","+","Creation Club: ccbgssse051-ba_daedricmail","","",-1,"","","2026/05/04 14:44:14",""
"0041","+","Creation Club: ccbgssse050-ba_daedric","","",-1,"","","2026/05/04 14:44:14",""
"0042","+","Creation Club: ccbgssse045-hasedoki","","",-1,"","","2026/05/04 14:44:14",""
"0043","+","Creation Club: ccbgssse043-crosselv","","",-1,"","","2026/05/04 14:44:14",""
"0044","+","Creation Club: ccbgssse041-netchleather","","",-1,"","","2026/05/04 14:44:14",""
"0045","+","Creation Club: ccbgssse040-advobgobs","","",-1,"","","2026/05/04 14:44:13",""
"0046","+","Creation Club: ccbgssse038-bowofshadows","","",-1,"","","2026/05/04 14:44:12",""
"0047","+","Creation Club: ccbgssse037-curios","","",-1,"","","2026/05/04 14:44:12",""
"0048","+","Creation Club: ccbgssse036-petbwolf","","",-1,"","","2026/05/04 14:44:12",""
"0049","+","Creation Club: ccbgssse035-petnhound","","",-1,"","","2026/05/04 14:44:12",""
"0050","+","Creation Club: ccbgssse034-mntuni","","",-1,"","","2026/05/04 14:44:11",""
"0051","+","Creation Club: ccbgssse031-advcyrus","","",-1,"","","2026/05/04 14:44:11",""
"0052","+","Creation Club: ccbgssse025-advdsgs","","",-1,"","","2026/05/04 14:44:10",""
"0053","+","Creation Club: ccbgssse021-lordsmail","","",-1,"","","2026/05/04 14:44:04",""
"0054","+","Creation Club: ccbgssse020-graycowl","","",-1,"","","2026/05/04 14:44:04",""
"0055","+","Creation Club: ccbgssse019-staffofsheogorath","","",-1,"","","2026/05/04 14:44:03",""
"0056","+","Creation Club: ccbgssse018-shadowrend","","",-1,"","","2026/05/04 14:44:03",""
"0057","+","Creation Club: ccbgssse016-umbra","","",-1,"","","2026/05/04 14:44:03",""
"0058","+","Creation Club: ccbgssse014-spellpack01","","",-1,"","","2026/05/04 14:44:03",""
"0059","+","Creation Club: ccbgssse013-dawnfang","","",-1,"","","2026/05/04 14:44:03",""
"0060","+","Creation Club: ccbgssse012-hrsarmrstl","","",-1,"","","2026/05/04 14:44:03",""
"0061","+","Creation Club: ccbgssse011-hrsarmrelvn","","",-1,"","","2026/05/04 14:44:03",""
"0062","+","Creation Club: ccbgssse010-petdwarvenarmoredmudcrab","","",-1,"","","2026/05/04 14:44:02",""
"0063","+","Creation Club: ccbgssse008-wraithguard","","",-1,"","","2026/05/04 14:44:02",""
"0064","+","Creation Club: ccbgssse007-chrysamere","","",-1,"","","2026/05/04 14:44:02",""
"0065","+","Creation Club: ccbgssse006-stendarshammer","","",-1,"","","2026/05/04 14:44:02",""
"0066","+","Creation Club: ccbgssse005-goldbrand","","",-1,"","","2026/05/04 14:44:02",""
"0067","+","Creation Club: ccbgssse004-ruinsedge","","",-1,"","","2026/05/04 14:44:01",""
"0068","+","Creation Club: ccbgssse003-zombies","","",-1,"","","2026/05/04 14:44:01",""
"0069","+","Creation Club: ccbgssse002-exoticarrows","","",-1,"","","2026/05/04 14:44:01",""
"0070","+","Creation Club: ccbgssse001-fish","","",-1,"","","2026/05/04 14:44:00",""
"0071","+","Creation Club: ccasvsse001-almsivi","","",-1,"","","2026/05/04 14:43:57",""
"0072","+","Creation Club: ccafdsse001-dwesanctuary","","",-1,"","","2026/05/04 14:43:54",""
"0073","+","Creation Club: _ResourcePack","","",-1,"","","2026/08/21 23:11:17",""
"0074","+","DLC: HearthFires","","",-1,"","","2026/08/21 23:09:15",""
"0075","+","DLC: Dragonborn","","",-1,"","","2026/08/21 23:09:15",""
"0076","+","DLC: Dawnguard","","",-1,"","","2026/08/21 23:09:14",""
"0077","+","Mods Indispensables_separator","","",-1,"","","",""
"0078","+","All in one Address Library (Anniversary Edition)","","Modders Resources",32444,"https://www.nexusmods.com/skyrimspecialedition/mods/32444","13.0.0.0","2026/08/31 18:55:01","Address Library All in One (1.7.104.0) v13 32444 13 2026-08-27T15-29Z Ae46W7Fw2.zip"
"0079","+","Unofficial Skyrim Special Edition Patch 4.3.8","ultima version para la 1.6.1170  4.3.8 ahora solo es para 1.7.99 (https://www.nexusmods.com/skyrimspecialedition/mods/266?tab=files&file_id=733846)","Bug Fixes",266,"https://www.nexusmods.com/skyrimspecialedition/mods/266","4.3.8.0a","2026/05/04 15:10:48","Unofficial Skyrim Special Edition Patch-266-4-3-8a-1774132896.7z"
"0080","+","(Actualizado 4.3.8a) Unofficial SSE Patch - Spanish (Voces y Textos)","ultima version para la 1.6.1170  4.3.8 ahora solo es para 1.7.99 (https://www.nexusmods.com/skyrimspecialedition/mods/131938?tab=files&file_id=731810)","Bug Fixes",131938,"https://www.nexusmods.com/skyrimspecialedition/mods/131938","4.3.8.0a","2026/05/04 14:48:59","USSEP - Spanish (Voces y Textos)-131938-4-3-8-1773612459.zip"
"0081","+","Unofficial Skyrim Creation Club Content Patches","ya instale todos los parches agregue una traduccion dsd uso personal","Bug Fixes",18975,"https://www.nexusmods.com/skyrimspecialedition/mods/18975","8.5.0.0","2026/08/06 20:39:45","Unofficial Creation Club Content Patch 18975 8.5 2026-08-03T02-18Z Dc5uGktyp.zip"
"0082","+","Unofficial Skyrim Modder's Patch","","Bug Fixes",49616,"https://www.nexusmods.com/skyrimspecialedition/mods/49616","2.6.8.0b","2026/09/17 20:44:59","Unofficial Skyrim Modder'S Patch USMP SE 49616 2.6.8b 2026-07-08T20-46Z izKcFp4d1.7z"
"0083","+","Unofficial Skyrim Modder's Patch - Castellano - Spanish","","User Interface",69738,"https://www.nexusmods.com/skyrimspecialedition/mods/69738","2.6.8.0b","2026/09/17 20:46:06","Unofficial Skyrim Modder's Patch 69738 2.6.8b 2026-09-02T08-49Z vlGiB9Jbd.zip"
"0084","+","Unofficial Skyrim Modders Patch - USMP - Patch Emporium","ya instale lo que necesito a la fecha","Patches",50813,"https://www.nexusmods.com/skyrimspecialedition/mods/50813","1.3.34.0","2026/05/22 22:28:42","USMP Patch Emporium.7z-50813-1-3-34-1746737200.7z"
"0085","+","Traduccion Spanish USMP - Patch Emporium","ya instale lo que necesito a la fecha","Patches",154900,"https://www.nexusmods.com/skyrimspecialedition/mods/154900","1.3.34.0","2026/05/30 18:20:53","USMP Patch Emporium   DSD   Spanish-154900-1-3-34-1780179112.rar"
"0086","+","Engine Fixes","no contiene parches","Bug Fixes",17230,"https://www.nexusmods.com/skyrimspecialedition/mods/17230","7.0.20.0","2026/05/04 14:58:27","Engine Fixes - Main File-17230-7-0-20-1772078239.7z"
"0087","+","PrivateProfileRedirector SE - Faster game start Rivatuner","solucina que rivatuner no vea el juego","",0,"","0.6.3.0","2026/07/01 23:04:10",""
"0088","+","SkyUI","Traduccion en Dear Diary Dark Mode (texts - white color)","User Interface",12604,"https://www.nexusmods.com/skyrimspecialedition/mods/12604","5.2.0.0SE","2026/05/04 15:09:05","SkyUI_5_2_SE-12604-5-2SE.7z"
"0089","+","moreHUD SE","Revisar el preset del mod que usa este","User Interface",12688,"https://www.nexusmods.com/skyrimspecialedition/mods/12688","5.4.5.0","2026/09/12 21:58:16","moreHUD for SE and AE 12688 5.4.5.0 2026-09-10T22-07Z CmfxYj41D.7z"
"0090","+","moreHUD - Castellano - Spanish","","User Interface",80137,"https://www.nexusmods.com/skyrimspecialedition/mods/80137","5.4.4.0","2026/09/06 22:53:16","moreHUD 80137 5.4.4.0 2026-09-03T20-23Z XnIqaCsA2.zip"
"0091","+","moreHUD Inventory Edition","la actualizacion del juego 1.7.99 requiere otro archivo.","User Interface",18619,"https://www.nexusmods.com/skyrimspecialedition/mods/18619","2.2.3.0","2026/09/06 22:53:03","moreHUD Inventory Edition - AE and SE 18619 2.2.3.0 2026-09-03T23-51Z lNkz9Lrr4.7z"
"0092","+","Bug Fixes SSE","","Bug Fixes",33261,"https://www.nexusmods.com/skyrimspecialedition/mods/33261","10.0.0.0","2026/05/04 14:56:21","Bug Fixes SSE - Anniversary Edition (1.6.629.0 and later)-33261-10-1678780224.7z"
"0093","+","MCM Helper","La actualizacion no soporta 1.6.1170 ahora solo 1.7.99","Utilities",53000,"https://www.nexusmods.com/skyrimspecialedition/mods/53000","1.5.0.0","2026/05/04 15:04:46","MCM Helper-53000-1-5-0-1702843613.7z"
"0094","+","SSE Display Tweaks","","Utilities",34705,"https://www.nexusmods.com/skyrimspecialedition/mods/34705","0.5.25.0","2026/08/31 18:53:24","SSE Display Tweaks 34705 0.5.25 2026-08-29T20-20Z QRde31FV2.zip"
"0095","+","powerofthree's Tweaks","no contiene parches","Bug Fixes",51073,"https://www.nexusmods.com/skyrimspecialedition/mods/51073","1.17.1.0","2026/08/28 20:17:42","powerofthree's Tweaks 51073 1.17.1 2026-08-25T00-11Z zYsEpQvXg.7z"
"0096","+","Papyrus Extender","no contiene parches","Modders Resources",22854,"https://www.nexusmods.com/skyrimspecialedition/mods/22854","6.5.2.0","2026/09/06 22:52:32","Papyrus Extender 22854 6.5.2 2026-09-05T12-53Z Sx9oEwOl7.7z"
"0097","+","JContainers SE","","Modders Resources",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.2.13.1","2026/07/05 20:01:28","JContainers SE 16495 4.2.13.1 GkqKVMPbm.7z"
"0098","+","PapyrusUtil SE - Modders Scripting Utility Functions","4.6 es para 1.6.1170 y 4.7 es para 1.7.99","Modders Resources",13048,"https://www.nexusmods.com/skyrimspecialedition/mods/13048","4.6.0.0","2026/05/04 15:06:23","PapyrusUtil AE SE - Scripting Utility Functions-13048-4-6-1705639805.zip"
"0099","+","Papyrus Tweaks NG","","Bug Fixes",77779,"https://www.nexusmods.com/skyrimspecialedition/mods/77779","4.1.1.0","2026/05/04 15:06:23","Papyrus Tweaks 4.1.1-77779-4-1-1-1761101872.rar"
"0100","+","Mfg Fix","","Bug Fixes",11669,"https://www.nexusmods.com/skyrimspecialedition/mods/11669","1.6.1.0","2026/05/04 15:04:49","MfgFix-11669-1-6-1-1664520342.7z"
"0101","+","MfgFix MCM","","Bug Fixes",11669,"https://www.nexusmods.com/skyrimspecialedition/mods/11669","1.6.0.0","2026/05/04 15:04:50","MfgFix-MCM-ae-11669-1-6-0-1639994478.7z"
"0102","+","Mfg Fix NG","","Utilities",133568,"https://www.nexusmods.com/skyrimspecialedition/mods/133568","1.0.10.0","2026/09/17 00:13:09","MfgFix NG 133568 1.0.10 2026-09-16T14-32Z Dc5uGkvbx.zip"
"0103","+","FormList Manipulator - FLM","","Utilities",74037,"https://www.nexusmods.com/skyrimspecialedition/mods/74037","1.8.1.0","2026/05/04 15:00:25","FormList Manipulator - FLM-74037-1-8-1-1727507011.zip"
"0104","+","Rogue's Gallery","","Modders Resources",99482,"https://www.nexusmods.com/skyrimspecialedition/mods/99482","1.0.1.0","2026/09/07 18:05:48","Rogue's Gallery - Main File 99482 1.0.1.0 2026-09-07T20-14Z cE8hkAoVe.7z"
"0105","+","Scrambled Bugs","","Bug Fixes",43532,"https://www.nexusmods.com/skyrimspecialedition/mods/43532","21.0.0.0","2026/05/04 15:08:05","Scrambled Bugs - Anniversary Edition (1.6.629.0 and later)-43532-21-1678779028.7z"
"0106","+","MergeMapper","","Modders Resources",74689,"https://www.nexusmods.com/skyrimspecialedition/mods/74689","1.6.2.0","2026/09/17 17:46:43","MergeMapper 74689 1.6.2 2026-09-17T06-05Z JrECN2T8z.7z"
"0107","+","Dynamic String Distributor (DSD)","","User Interface",107676,"https://www.nexusmods.com/skyrimspecialedition/mods/107676","1.4.3.0","2026/05/19 17:56:59","Dynamic String Distributor-107676-1-4-3-1779185677.7z"
"0108","+","SkyPatcher","","Utilities",106659,"https://www.nexusmods.com/skyrimspecialedition/mods/106659","7.0.3.0","2026/08/28 20:16:23","SkyPatcher - AE 106659 7.0.3 2026-08-27T21-03Z 587RqTffM.zip"
"0109","+","Media Keys Fix SKSE","","Bug Fixes",92948,"https://www.nexusmods.com/skyrimspecialedition/mods/92948","1.0.2.0","2026/08/21 18:51:07","Media Keys Fix 92948 1.0.2 2026-08-21T18-58Z Yj6wQRo26.zip"
"0110","+","SMP-NPC crash fix","","Bug Fixes",91616,"https://www.nexusmods.com/skyrimspecialedition/mods/91616","1.0.0.0","2026/05/04 15:09:08","SMP-NPC crash fix-91616-1-1684409131.7z"
"0111","+","Achievements Mods Enabler","requiere de esto instalado de forma manual https://www.nexusmods.com/skyrimspecialedition/mods/3619?tab=files","User Interface",245,"https://www.nexusmods.com/skyrimspecialedition/mods/245","1.41.0.0","2026/05/04 14:52:02","Achievements Mods Enabler SE-AE-245-1-41-1715217907.zip"
"0112","+","Spell Perk Item Distributor","no contiene parches","Utilities",36869,"https://www.nexusmods.com/skyrimspecialedition/mods/36869","7.3.3.0","2026/08/28 20:16:27","Spell Perk Item Distributor 36869 7.3.3 2026-08-26T21-53Z rvwm2B1Z2.7z"
"0113","+","Alt-Tab Stuck Key Fix NG","","Bug Fixes",148466,"https://www.nexusmods.com/skyrimspecialedition/mods/148466","2.0.1.0","2026/09/24 15:24:11","AltTabFix 2.0.1 148466 2.0.1 2026-09-24T12-17Z qTl1SxXft.zip"
"0114","+","Crash Logger SSE AE VR - PDB support","","Miscellaneous",59818,"https://www.nexusmods.com/skyrimspecialedition/mods/59818","1.25.0.0","2026/08/21 18:50:50","CrashLogger 59818 1.25.0 2026-08-21T09-21Z yIjvuh041.7z"
"0115","+","Audio Util","","Utilities",186249,"https://www.nexusmods.com/skyrimspecialedition/mods/186249","0.9.24.0b","2026/09/24 15:24:15","AudioUtil 186249 0.9.24b 2026-09-23T23-09Z 8gJHT4Kle.zip"
"0116","-","Mods UI Esenciales_separator","","",-1,"","","",""
"0117","+","UIExtensions","","User Interface",17561,"https://www.nexusmods.com/skyrimspecialedition/mods/17561","1.2.0.0","2026/05/04 15:10:45","UIExtensions v1-2-0-17561-1-2-0.7z"
"0118","+","UIExtensions - Castellano - Spanish","","User Interface",89636,"https://www.nexusmods.com/skyrimspecialedition/mods/89636","1.2.0.0","2026/05/04 15:10:45","UIExtensions-89636-1-2-0-1714577522.zip"
"0119","+","Modex - A Mod Explorer Menu","","Cheats and God items",137877,"https://www.nexusmods.com/skyrimspecialedition/mods/137877","3.0.0.0","2026/06/01 12:16:03","Modex - A Mod Explorer Menu - v3.0.0-137877-v3-0-0-1780283173.zip"
"0120","+","Modex - A Mod Explorer Menu - Spanish","","Cheats and God items",174343,"https://www.nexusmods.com/skyrimspecialedition/mods/174343","3.0.0.0","2026/06/01 13:40:00","Modex - A Mod Explorer Menu - spanish-174343-3-0-0-1780335235.rar"
"0121","+","A Matter of Time - A HUD clock widget","","User Interface",12937,"https://www.nexusmods.com/skyrimspecialedition/mods/12937","3.0.0.0a4","2026/05/04 14:52:00","AMatterOfTime_v3_0_0_alpha_4-12937-v3-0-0a4.7z"
"0122","+","A Matter of Time - A HUD clock widget - Settings Loader","","User Interface",77212,"https://www.nexusmods.com/skyrimspecialedition/mods/77212","1.0.1.0","2026/05/04 14:52:00","A Matter of Time - A HUD clock widget - Settings L-77212-1-0-1-1690823884.zip"
"0123","+","Easy WheelMenu II SSE","","User Interface",59799,"https://www.nexusmods.com/skyrimspecialedition/mods/59799","1.5.0.0a","2026/05/04 14:58:20","Easy WheelMenu II SSE Patch Only-59799-1-5a-1724950046.zip"
"0124","+","Easy WheelMenu II SSE - spanish","","User Interface",59799,"https://www.nexusmods.com/skyrimspecialedition/mods/59799","1.5.0.0","2026/05/04 14:58:21","Easy WheelMenu II SSE - Traduccion Spanish-59799-1-5-1696851683.rar"
"0125","+","SkyHUD","","User Interface",463,"https://www.nexusmods.com/skyrimspecialedition/mods/463","0.90.1.0B","2026/05/04 15:08:37","SkyHUD v090B v4-463-0-90B.zip"
"0126","-","STB Hotkey System","","Gameplay",191157,"https://www.nexusmods.com/skyrimspecialedition/mods/191157","1.6.0.0","2026/09/24 15:25:05","STB Hotkey System 191157 1.6 2026-09-19T18-32Z kATsMW9kT.7z"
"0127","-","Mods Esenciales SKSE_separator","","",-1,"","","",""
"0128","-","Asset Doctor","Permite encontrar y registrar texturas faltantes se puede desactivar si no se quiere usar siempre","Utilities",123445,"https://www.nexusmods.com/skyrimspecialedition/mods/123445","2.0.0.0","2026/05/04 14:52:41","Asset Doctor-123445-v2-0-0-1766282500.zip"
"0129","+","Sound Record Distributor","Parchea diferentees mods de audio por si solo","Audio",77815,"https://www.nexusmods.com/skyrimspecialedition/mods/77815","1.5.4.0","2026/08/28 20:38:25","Sound Record Distributor 77815 1.5.4 2026-08-24T21-06Z Ks18n0wtq.zip"
"0130","+","Animation Queue Fix","","Bug Fixes",82395,"https://www.nexusmods.com/skyrimspecialedition/mods/82395","1.0.2.0","2026/09/06 23:06:26","Animation Queue Fix 82395 1.0.2 2026-08-31T16-18Z PuQ2UKIR4.7z"
"0131","+","Animation Motion Revolution","","Utilities",50258,"https://www.nexusmods.com/skyrimspecialedition/mods/50258","1.5.3.0","2026/05/04 14:52:33","Animation Motion Revolution-50258-1-5-3-1664395662.rar"
"0132","+","Paired Animation Improvements","","Animation",99621,"https://www.nexusmods.com/skyrimspecialedition/mods/99621","1.0.3.0","2026/08/31 18:58:45","Paired Animation Improvements 99621 1.0.3 2026-08-31T16-20Z FpnkHZY0N.7z"
"0133","+","Rumble","","User Interface",84507,"https://www.nexusmods.com/skyrimspecialedition/mods/84507","1.0.1.0","2026/08/28 20:38:28","Rumble 84507 1.0.1 2026-08-24T21-05Z Sx9oEwdKY.zip"
"0134","+","Rumble Additions","","User Interface",85005,"https://www.nexusmods.com/skyrimspecialedition/mods/85005","1.0.0.0","2026/05/04 15:08:01","Rumble Additions-85005-1-0-1676473056.zip"
"0135","+","dTry's Key Utils AE-NG-2024","En los comentarios ahi un anclado con la version mas actualizada al 2024","Utilities",69944,"https://www.nexusmods.com/skyrimspecialedition/mods/69944","1.1.0.0","2026/05/04 14:58:04","E:/Descargas E/dTry's Key Utils AE-NG-2024.zip"
"0136","+","Classic Sprinting Redone (SKSE64)","","Miscellaneous",20166,"https://www.nexusmods.com/skyrimspecialedition/mods/20166","2.4.0.0","2026/09/24 15:44:14","Classic Sprinting Redone 20166 2.4 2026-09-24T15-16Z Ks18n0Go1.zip"
"0137","+","Combat Music Fix NG Updated","","Bug Fixes",110459,"https://www.nexusmods.com/skyrimspecialedition/mods/110459","2.0.0.0","2026/09/24 15:43:50","Combat Music Fix NG 110459 2.0.0 2026-09-20T12-16Z L5WQbqfsE.zip"
"0138","+","dTry Plugin Updates - Elden Parry","Version Elder Parry requiere de Combat Music Fix NG Updated","Utilities",85740,"https://www.nexusmods.com/skyrimspecialedition/mods/85740","1.7.99.0","2026/08/28 20:35:18","Elden Parry 85740 1.7.99 2026-08-22T19-12Z FpnkHZ2AJ.zip"
"0139","+","Skyrim Skill Uncapper for SE and AE","al usar Experience se debe editar el .ini bUsePCLevelSkillExpMults y dejarlo en false","Gameplay",82558,"https://www.nexusmods.com/skyrimspecialedition/mods/82558","2.2.4.0","2026/09/07 18:06:19","Skyrim Skill Uncapper for SE and AE 82558 2.2.4 2026-09-07T19-28Z qTl1SxHc1.zip"
"0140","+","Base Object Swapper","no contiene parches","Utilities",60805,"https://www.nexusmods.com/skyrimspecialedition/mods/60805","3.5.0.0","2026/08/31 18:58:29","Base Object Swapper 60805 3.5.0 2026-08-25T12-33Z Ae46W7Fxr.7z"
"0141","+","Keyword Item Distributor (KID)","no contiene parches","Utilities",55728,"https://www.nexusmods.com/skyrimspecialedition/mods/55728","4.1.0.0","2026/08/28 20:32:55","Keyword Item Distributor (SE AE) 55728 4.1.0 2026-08-25T01-04Z 587RqTfrf.7z"
"0142","+","Scaleform Translation Plus Plus NG","","User Interface",77359,"https://www.nexusmods.com/skyrimspecialedition/mods/77359","1.10.0.0","2026/08/28 20:32:50","ScaleformTranslationPP 77359 1.10 2026-08-24T11-46Z PuQ2UKSsd.zip"
"0143","+","ConsolePlusPlus","no contiene parches","User Interface",79975,"https://www.nexusmods.com/skyrimspecialedition/mods/79975","1.5.1.0","2026/08/31 18:58:14","ConsolePlusPlus 79975 1.5.1 2026-08-26T18-40Z 2Bej58oaD.7z"
"0144","+","Mu Skeleton Editor","no contiene parches","Modders Resources",91563,"https://www.nexusmods.com/skyrimspecialedition/mods/91563","0.6.4.0","2026/09/24 15:43:37","Mu Skeleton Editor 91563 0.6.4 2026-09-18T11-53Z qTl1SxV8N.zip"
"0145","+","Native EditorID Fix","","Bug Fixes",85260,"https://www.nexusmods.com/skyrimspecialedition/mods/85260","1.2.3.0","2026/09/24 15:43:31","Native EditorID Fix 85260 1.2.3 2026-09-20T12-57Z uhRBKsDf9.7z"
"0146","+","Container Distribution Framework","","Utilities",120152,"https://www.nexusmods.com/skyrimspecialedition/mods/120152","3.1.0.0","2026/05/21 16:42:41","Container Distribution Framework-120152-3-1-0-1779298156.7z"
"0147","+","ConsoleUtilSSE NG","","Utilities",76649,"https://www.nexusmods.com/skyrimspecialedition/mods/76649","1.6.1.0","2026/08/31 18:57:54","ConsoleUtilSSE NG 76649 1.6.1 2026-08-22T12-59Z Yj6wQRl9M.zip"
"0148","+","AnimObject Swapper","no contiene parches","Utilities",75167,"https://www.nexusmods.com/skyrimspecialedition/mods/75167","2.0.0.0","2026/09/24 15:43:25","AnimObject Swapper 75167 2.0.0 2026-09-20T04-01Z vlGiB9yiY.7z"
"0149","+","PEPE Main File","","",91192,"https://www.nexusmods.com/skyrimspecialedition/mods/91192","2.3.7.0","2026/08/31 18:57:34","PEPE Main File 91192 2.3.7.0 2026-08-30T15-35Z 6XybdaK4q.7z"
"0150","+","Behavior Data Injector","","Utilities",78146,"https://www.nexusmods.com/skyrimspecialedition/mods/78146","0.13.0.0","2026/05/04 14:53:51","Behavior Data Injector-78146-v0-13-1667564855.7z"
"0151","+","Behavior Data Injector Universal Support","","Utilities",78159,"https://www.nexusmods.com/skyrimspecialedition/mods/78159","0.13.0.4","2026/08/28 20:32:47","Behavior Data Injector Universal Support 78159 v0.13.0.4 2026-08-24T20-55Z 2Bej58obO.zip"
"0152","+","Fuz Ro D-oh - Silent Voice","","Miscellaneous",15109,"https://www.nexusmods.com/skyrimspecialedition/mods/15109","2.5.0.0","2026/05/04 15:00:27","Fuz Ro D'oh-15109-2-5-1706039953.7z"
"0153","+","Save Unbaker","no contiene parches","Utilities",85565,"https://www.nexusmods.com/skyrimspecialedition/mods/85565","1.0.6.0","2026/08/28 20:32:43","Save Unbaker 85565 1.0.6 2026-08-26T18-44Z PuQ2UKSdz.7z"
"0154","+","Face Discoloration Fix","","Bug Fixes",42441,"https://www.nexusmods.com/skyrimspecialedition/mods/42441","1.0.4.0","2026/08/28 20:32:16","Face Discoloration Fix SE 42441 1.0.4 2026-08-28T13-51Z 8gJHT4U5l.7z"
"0155","+","DPF - Dynamic Persistent Forms","","Modders Resources",116001,"https://www.nexusmods.com/skyrimspecialedition/mods/116001","2.21.0.0","2026/05/04 14:57:55","Dynamic Persistent Forms-116001-2-21-1714046026.7z"
"0156","+","PAPER","","Modders Resources",73849,"https://www.nexusmods.com/skyrimspecialedition/mods/73849","2.2.4.0","2026/05/04 15:06:22","PAPER-73849-2-2-4-1689759531.zip"
"0157","+","MIF - Mu Impact Framework","","Modders Resources",95624,"https://www.nexusmods.com/skyrimspecialedition/mods/95624","0.9.1.0","2026/09/24 15:42:59","MIF - Mu Impact Framework 95624 0.9.1 2026-09-18T11-24Z Dc5uGkvtw.zip"
